sample_size,seed,method,requested_coverage,answered,total,actual_coverage,selective_accuracy,risk,wrong_answered,correct_answered,abstained,correct_abstained,incorrect_abstained
3000,17,Confidence only,0.1,300,3000,0.1,0.8933333333333333,0.10666666666666667,32,268,2700,999,1701
3000,17,Confidence only,0.2,600,3000,0.2,0.8533333333333334,0.14666666666666667,88,512,2400,755,1645
3000,17,Confidence only,0.3,900,3000,0.3,0.84,0.16,144,756,2100,511,1589
3000,17,Confidence only,0.4,1200,3000,0.4,0.8025,0.1975,237,963,1800,304,1496
3000,17,Confidence only,0.5,1500,3000,0.5,0.7446666666666667,0.25533333333333336,383,1117,1500,150,1350
3000,17,Confidence only,0.6,1800,3000,0.6,0.6722222222222223,0.3277777777777778,590,1210,1200,57,1143
3000,17,Confidence only,0.7,2100,3000,0.7,0.5933333333333334,0.4066666666666667,854,1246,900,21,879
3000,17,Confidence only,0.8,2400,3000,0.8,0.52625,0.47375,1137,1263,600,4,596
3000,17,Confidence only,0.9,2700,3000,0.9,0.4685185185185185,0.5314814814814814,1435,1265,300,2,298
3000,17,Confidence only,1.0,3000,3000,1.0,0.42233333333333334,0.5776666666666667,1733,1267,0,0,0
3000,17,Question-aware semantic V2,0.1,300,3000,0.1,0.7833333333333333,0.21666666666666667,65,235,2700,1032,1668
3000,17,Question-aware semantic V2,0.2,600,3000,0.2,0.7616666666666667,0.23833333333333334,143,457,2400,810,1590
3000,17,Question-aware semantic V2,0.3,900,3000,0.3,0.7211111111111111,0.2788888888888889,251,649,2100,618,1482
3000,17,Question-aware semantic V2,0.4,1200,3000,0.4,0.665,0.335,402,798,1800,469,1331
3000,17,Question-aware semantic V2,0.5,1500,3000,0.5,0.6033333333333334,0.39666666666666667,595,905,1500,362,1138
3000,17,Question-aware semantic V2,0.6,1800,3000,0.6,0.5466666666666666,0.4533333333333333,816,984,1200,283,917
3000,17,Question-aware semantic V2,0.7,2100,3000,0.7,0.4980952380952381,0.5019047619047619,1054,1046,900,221,679
3000,17,Question-aware semantic V2,0.8,2400,3000,0.8,0.4583333333333333,0.5416666666666666,1300,1100,600,167,433
3000,17,Question-aware semantic V2,0.9,2700,3000,0.9,0.42148148148148146,0.5785185185185185,1562,1138,300,129,171
3000,17,Question-aware semantic V2,1.0,3000,3000,1.0,0.42233333333333334,0.5776666666666667,1733,1267,0,0,0
3000,17,Confidence + question-aware semantic V2,0.1,300,3000,0.1,0.8833333333333333,0.11666666666666667,35,265,2700,1002,1698
