sample_size,seed,method,requested_coverage,answered,total,actual_coverage,selective_accuracy,risk,wrong_answered,correct_answered,abstained,correct_abstained,incorrect_abstained
5000,17,Question-aware semantic V2,0.2,1000,5000,0.2,0.762,0.238,238,762,4000,1352,2648
5000,17,Question-aware semantic V2,0.3,1500,5000,0.3,0.7166666666666667,0.2833333333333333,425,1075,3500,1039,2461
5000,17,Question-aware semantic V2,0.4,2000,5000,0.4,0.667,0.333,666,1334,3000,780,2220
5000,17,Question-aware semantic V2,0.5,2500,5000,0.5,0.6068,0.3932,983,1517,2500,597,1903
5000,17,Question-aware semantic V2,0.6,3000,5000,0.6,0.5486666666666666,0.4513333333333333,1354,1646,2000,468,1532
5000,17,Question-aware semantic V2,0.7,3500,5000,0.7,0.4982857142857143,0.5017142857142857,1756,1744,1500,370,1130
5000,17,Question-aware semantic V2,0.8,4000,5000,0.8,0.458,0.542,2168,1832,1000,282,718
5000,17,Question-aware semantic V2,0.9,4500,5000,0.9,0.422,0.578,2601,1899,500,215,285
5000,17,Question-aware semantic V2,1.0,5000,5000,1.0,0.4228,0.5772,2886,2114,0,0,0
5000,17,Confidence + question-aware semantic V2,0.1,500,5000,0.1,0.9,0.1,50,450,4500,1664,2836
5000,17,Confidence + question-aware semantic V2,0.2,1000,5000,0.2,0.859,0.141,141,859,4000,1255,2745
5000,17,Confidence + question-aware semantic V2,0.3,1500,5000,0.3,0.814,0.186,279,1221,3500,893,2607
5000,17,Confidence + question-aware semantic V2,0.4,2000,5000,0.4,0.752,0.248,496,1504,3000,610,2390
5000,17,Confidence + question-aware semantic V2,0.5,2500,5000,0.5,0.6552,0.3448,862,1638,2500,476,2024
5000,17,Confidence + question-aware semantic V2,0.6,3000,5000,0.6,0.5736666666666667,0.42633333333333334,1279,1721,2000,393,1607
5000,17,Confidence + question-aware semantic V2,0.7,3500,5000,0.7,0.5168571428571429,0.48314285714285715,1691,1809,1500,305,1195
5000,17,Confidence + question-aware semantic V2,0.8,4000,5000,0.8,0.46375,0.53625,2145,1855,1000,259,741
5000,17,Confidence + question-aware semantic V2,0.9,4500,5000,0.9,0.422,0.578,2601,1899,500,215,285
5000,17,Confidence + question-aware semantic V2,1.0,5000,5000,1.0,0.4228,0.5772,2886,2114,0,0,0
